  9.70,  0.57,  0.57,  0.57
  9.75,  0.57,  0.57,  0.57
  9.80,  0.57,  0.57,  0.57
  9.85,  0.57,  0.57,  0.57
  9.90,  0.57,  0.57,  0.57
  9.95,  0.57,  0.57,  0.57
 10.00,  0.57,  0.57,  0.58
 10.05,  0.57,  0.57,  0.58
 10.10,  0.57,  0.57,  0.58
 10.15,  0.57,  0.58,  0.58
 10.20,  0.57,  0.58,  0.58
 10.25,  0.58,  0.58,  0.58
 10.30,  0.58,  0.58,  0.58
 10.35,  0.58,  0.58,  0.58
 10.40,  0.58,  0.58,  0.58
 10.45,  0.58,  0.58,  0.58
 10.50,  0.58,  0.58,  0.58
 10.55,  0.58,  0.58,  0.58
 10.60,  0.58,  0.58,  0.58
 10.65,  0.58,  0.58,  0.58
 10.70,  0.58,  0.58,  0.58
 10.75,  0.58,  0.58,  0.58
 10.80,  0.58,  0.58,  0.58
 10.85,  0.58,  0.58,  0.58
 10.90,  0.58,  0.58,  0.58
 10.95,  0.58,  0.58,  0.58
 11.00,  0.58,  0.58,  0.58
 11.05,  0.58,  0.58,  0.58
 11.10,  0.58,  0.58,  0.58
 11.15,  0.58,  0.58,  0.58
 11.20,  0.58,  0.58,  0.58
 11.25,  0.58,  0.58,  0.58
 11.30,  0.58,  0.58,  0.58
 11.35,  0.58,  0.58,  0.58
 11.40,  0.58,  0.58,  0.58
 11.45,  0.58,  0.58,  0.58
 11.50,  0.58,  0.58,  0.58
 11.55,  0.58,  0.58,  0.58
 11.60,  0.58,  0.58,  0.58
 11.65,  0.58,  0.58,  0.58
 11.70,  0.58,  0.58,  0.58
 11.75,  0.58,  0.58,  0.58
 11.80,  0.58,  0.58,  0.58
 11.85,  0.58,  0.58,  0.58
 11.90,  0.58,  0.58,  0.58
 11.95,  0.58,  0.58,  0.58
 12.00,  0.58,  0.58,  0.58
 12.05,  0.58,  0.58,  0.58
 12.10,  0.58,  0.58,  0.58
 12.15,  0.58,  0.58,  0.58
 12.20,  0.58,  0.58,  0.58
 12.25,  0.58,  0.58,  0.58
 12.30,  0.58,  0.58,  0.58
 12.35,  0.58,  0.58,  0.58
 12.40,  0.58,  0.58,  0.58
 12.45,  0.58,  0.58,  0.58
 12.50,  0.58,  0.58,  0.58
 12.55,  0.58,  0.58,  0.58
 12.60,  0.58,  0.58,  0.58
 12.65,  0.58,  0.58,  0.58
 12.70,  0.58,  0.58,  0.58
 12.75,  0.58,  0.58,  0.58
 12.80,  0.58,  0.58,  0.58
 12.85,  0.58,  0.58,  0.58
 12.90,  0.58,  0.58,  0.58
 12.95,  0.58,  0.58,  0.58
 13.00,  0.58,  0.58,  0.58
 13.05,  0.58,  0.58,  0.58
 13.10,  0.58,  0.58,  0.58
 13.15,  0.58,  0.58,  0.58
 13.20,  0.58,  0.58,  0.58
 13.25,  0.58,  0.58,  0.58
 13.30,  0.58,  0.58,  0.58
 13.35,  0.58,  0.58,  0.58
 13.40,  0.58,  0.58,  0.58
 13.45,  0.58,  0.58,  0.58
 13.50,  0.58,  0.58,  0.58
 13.55,  0.58,  0.58,  0.58
 13.60,  0.58,  0.58,  0.58
 13.65,  0.58,  0.58,  0.58
 13.70,  0.58,  0.58,  0.58
 13.75,  0.58,  0.58,  0.58
 13.80,  0.58,  0.58,  0.58
 13.85,  0.58,  0.58,  0.58
 13.90,  0.58,  0.58,  0.58
 13.95,  0.58,  0.58,  0.58
 14.00,  0.58,  0.58,  0.58
 14.05,  0.58,  0.58,  0.58
 14.10,  0.58,  0.58,  0.58
 14.15,  0.58,  0.58,  0.58
 14.20,  0.58,  0.58,  0.58
 14.25,  0.58,  0.58,  0.58
 14.30,  0.58,  0.58,  0.58
 14.35,  0.58,  0.58,  0.58
 14.40,  0.58,  0.58,  0.58
 14.45,  0.58,  0.58,  0.58
 14.50,  0.58,  0.58,  0.58
 14.55,  0.58,  0.58,  0.58
 14.60,  0.58,  0.58,  0.58
 14.65,  0.58,  0.58,  0.58
 14.70,  0.58,  0.58,  0.58
 14.75,  0.58,  0.58,  0.58
 14.80,  0.58,  0.58,  0.58
 14.85,  0.58,  0.58,  0.58
 14.90,  0.58,  0.58,  0.58
 14.95,  0.58,  0.58,  0.58
 15.00,  0.58,  0.58,  0.58
 15.05,  0.58,  0.58,  0.58
 15.10,  0.58,  0.58,  0.58
 15.15,  0.58,  0.58,  0.58
 15.20,  0.58,  0.58,  0.58
 15.25,  0.58,  0.58,  0.58
 15.30,  0.58,  0.58,  0.58
 15.35,  0.58,  0.58,  0.58
 15.40,  0.58,  0.58,  0.59
 15.45,  0.58,  0.58,  0.59
 15.50,  0.58,  0.58,  0.59
 15.55,  0.58,  0.58,  0.59
 15.60,  0.58,  0.58,  0.59
 15.65,  0.58,  0.58,  0.59
 15.70,  0.58,  0.58,  0.59
 15.75,  0.58,  0.58,  0.59
 15.80,  0.58,  0.58,  0.59
 15.85,  0.58,  0.58,  0.59
 15.90,  0.58,  0.58,  0.59
 15.95,  0.58,  0.58,  0.59
 16.00,  0.58,  0.58,  0.59
 16.05,  0.58,  0.58,  0.59
 16.10,  0.58,  0.58,  0.59
